影片名;导演;主演;影片类型;评分;评分人数;短评数
紧急救援;林超贤;彭于晏,王彦霖,辛芷蕾,蓝盈莹,王雨甜,徐洋,陈家乐,李岷城,张景祎,李欣蕊,郭晓东,张国强,魏大勋,连凯;动作,灾难;5.9;114360;43596
红高粱;张艺谋;巩俐,姜文,滕汝骏,钱明,陈志刚,计春华;剧情,爱情,历史,战争;8.4;231093;43836
诺丁山 Notting Hill;罗杰·米歇尔;朱莉娅·罗伯茨,休·格兰特,理查德·麦凯布,瑞斯·伊凡斯,詹姆斯·德雷福斯,迪兰·莫兰,亨利·古德曼,朱利安·林希德-图特,罗蕾莱·金,约翰·斯拉普内尔,克拉克·彼得斯,尤兰达·瓦兹奎兹,米莎·巴顿,蒂姆·麦克纳尼,吉娜·麦基,艾玛·钱伯斯,休·博纳维尔,多里斯·洛夫,桑吉夫·巴哈斯卡,保罗·查希迪,艾米莉·莫迪默,萨缪尔·韦斯特,帕特里克·巴罗,安迪·德拉图尔,鲁伯特·普格特,安·比奇,莎莉·菲利普斯,亚历克·鲍德温,伊恩·博霍,西蒙·卡洛,乔·考尼什,肖恩·克罗宁,欧米德·吉亚李利,迈克尔·希格斯,若昂·科斯塔·梅内塞斯,马修·莫迪恩;喜剧,爱情;8.0;325692;82374
X战警3：背水一战 X-Men: The Last Stand;布莱特·拉特纳;休·杰克曼,哈莉·贝瑞,伊恩·麦克莱恩,帕特里克·斯图尔特,法米克·詹森,安娜·帕奎因,凯尔希·格兰莫,詹姆斯·麦斯登,丽贝卡·罗梅恩,肖恩·阿什莫,艾利奥特·佩吉,本·福斯特,亚伦·斯坦福;动作,科幻,惊悚;7.6;216628;23122
爱宠大机密 The Secret Life of Pets;克里斯·雷纳德,亚罗·切尼;路易·C·K,艾瑞克·斯通斯崔特,凯文·哈特,珍妮·斯蕾特,艾丽·坎伯尔,史蒂夫·库根,艾伯特·布鲁克斯,达纳·卡维,鲍比·莫尼汉,汉尼拔·布勒斯,蕾克·贝尔,克里斯·雷纳德,迈克尔·贝亚蒂,布莱恩·T·杰恩斯,拉瑞恩·纽曼;喜剧,动画;7.8;259306;71656
迷雾 The Mist;弗兰克·德拉邦特;托马斯·简,马西娅·盖伊·哈登,劳瑞·侯登,安德鲁·布劳尔,托比·琼斯,威廉姆·赛德勒,内森·甘宝;科幻,惊悚,恐怖;8.0;294143;77078
阿拉丁 Aladdin;盖·里奇;梅纳·玛索德,娜奥米·斯科特,威尔·史密斯,马尔万·肯扎里,纳维德·内加班,纽曼·阿卡,艾伦·图代克,比利·马格努森,纳西姆·帕杜雷德,卡米尔·雷米泽斯基,乔伊·安沙,贾格·帕特尔,贝恩·科拉科,凯西·克莱尔,威尔·布拉格罗夫,希滕·珀泰尔,阿米尔·鲍特罗斯,埃里克·可可,弗兰·塔格,阿玛尔·阿达蒂亚,乔丹·A·纳什,通恰伊·古奈什,塞尔哈特·梅汀,凯文·马塔迪恩,保利娜·博内瓦,塔希尔·布尔汉,亚当·柯林斯;爱情,歌舞,奇幻,冒险;7.4;291975;98146
还珠格格 還珠格格;孙树培;苏有朋,林心如,周杰,陈志朋,范冰冰,张铁林,戴春荣,李明启,赵丽娟,张恒,陈莹,陆诗雨,刘芳,刘丹,薛亦伦,李楠,鱼梦洁,刘芳毓,艾洋,董伟,张巍,游龙,苗皓钧,朱景隆,王奕,刘伟,郑佳欣,杨东,王坤,温海波;剧情,喜剧,动作,爱情,古装;8.5;220687;55827
女佣 Maid;约翰·威尔斯,恩辛哈·斯图尔特,海伦·谢费,莉拉·内格鲍尔,奎燕·陈;玛格丽特·库里,尼克·罗宾森,莱拉·内瓦·惠特,安迪·麦克道威尔,阿尼卡·诺尼·罗斯,特雷西·维拉尔,比利·伯克,泽维尔·德古斯曼,BJ·哈里森,托比·莱文斯,克里斯蒂·柏克,艾琳·卡普拉克,艾米·卡里诺,莫赞·玛诺,杰西卡·斯汀,斯蒂夫·巴西奇,吉莲·芭伯,亚历桑德罗·朱利安尼,西奥多·佩尔兰,珍妮弗·姬琛,莉亚·弗兰克兰,格洛丽亚·加拉尤亚,贝利·斯科德里,萨钦·萨赫勒,贝克汉姆·斯科德里,丹尼尔·巴孔,拉腊·萨迪克,Raymond Ablack,Amy Reid,Angelina Pepper,Anthony Scardera;剧情,喜剧;8.5;10550;3667
玛丽和马克思 Mary and Max;亚当·艾略特;托妮·科莱特,菲利普·塞默·霍夫曼,巴瑞·哈姆弗莱斯,艾瑞克·巴纳,贝塔尼·维特莫尔,蕾妮·盖耶,伊恩·莫利·梅尔德伦,朱莉·福塞斯,约翰·弗劳思,克里斯托弗·马西,卡罗琳·莎士比亚-艾伦,琳恩·史密斯,迈克尔·延纳;剧情,喜剧,动画;8.9;391682;108353
变脸 Face/Off;吴宇森;约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦,亚历桑德罗·尼沃拉,吉娜·格申,多米尼克·斯万,尼克·卡萨维蒂,哈威·普雷斯内尔,科鲁姆·费奥瑞,约翰·卡洛·林奇,希·庞德,罗伯特·维斯多姆,赵牡丹,詹姆斯·丹顿,马特·罗斯,克里斯·鲍尔,迈尔斯·杰弗里,大卫·麦克库利,托马斯·简,汤米·弗拉纳根,达纳·史密斯,罗密·温莎,保罗•希普,柯克·鲍兹,劳伦·辛克莱尔,本·里德,丽莎·博伊尔,琳达·霍夫曼,丹尼·马斯特森,迈克尔·罗查,麦克·韦柏,梅根·保罗,诺姆·卡普顿;动作,科幻,惊悚,犯罪;8.5;356206;50877
门徒 門徒;尔冬升;刘德华,吴彦祖,古天乐,张静初,袁咏仪,廖启智,何美钿,尔冬升;剧情,惊悚,犯罪;7.9;259917;41751
寂静之地 A Quiet Place;约翰·卡拉辛斯基;艾米莉·布朗特,约翰·卡拉辛斯基,米利森特·西蒙兹,诺亚·尤佩,凯德·伍德沃德,里昂·拉瑟姆,桃乐丝·麦卡锡;惊悚,恐怖;6.3;283796;95760
火锅英雄;杨庆;陈坤,白百何,秦昊,喻恩泰,王彦霖,尹昉,李九霄,张亦驰,凌琳,陈诺,王紫璇,唐佐辉,陈卫,李润,任敏;剧情,犯罪;7.2;323878;91825
整蛊专家 整蠱專家;王晶;刘德华,周星驰,关之琳,邱淑贞,吴孟达,李子雄,王晶,成奎安,程东;喜剧,爱情;7.9;246476;24272
魔兽 Warcraft;邓肯·琼斯;崔维斯·费米尔,托比·凯贝尔,宝拉·巴顿,吴彦祖,本·福斯特,多米尼克·库珀,鲁丝·内伽,克兰西·布朗,丹尼尔·库德摩尔,罗伯特·卡辛斯基,本·施耐泽,格伦·克洛斯,考乐姆·吉斯·雷尼,泰瑞·诺塔里,瑞安·罗宾斯,博尔克利·杜菲尔德,丹·佩恩,迪伦·肖明,唐尼·麦克尼尔,迈克·安东纳科斯,拉吉·拉尔;动作,奇幻,冒险;7.7;298893;89729
澳门风云3 賭城風雲III;王晶,刘伟强;周润发,刘德华,张家辉,张学友,余文乐,李宇春,刘嘉玲,王诗龄,向佐,胡然,元秋,鸟叔,童飞,罗家英,卢海鹏;喜剧,动作;4.4;136590;41369
信号 시그널;金元锡;李帝勋,赵震雄,金惠秀,张铉诚,金元海,郑涵妃,郑海钧;剧情,悬疑,犯罪,奇幻;9.2;273357;82749
一天 One Day;罗勒·莎菲;安妮·海瑟薇,吉姆·斯特吉斯,汤姆·米森,朱迪·惠特克,蒂姆·凯,拉菲·斯波,约瑟芬·德·拉·波美,派翠西娅·克拉克森,肯·斯托特,海达·里德,阿曼达·费尔班克-海恩斯,大卫·阿贾拉,乔治雅·金,欧韦尔利·罗奇,克拉拉·佩吉特,马特·贝里,萝玛拉·嘉瑞,戴安娜·肯特,James Laurenson,马修·比尔德,托比·瑞格波,托马斯·阿诺德,菲比·福克斯,艾米莉亚·琼斯,麦克·宾德尔 ,贝恩·科拉科,Natalie Hallam,范德·麦克劳德;剧情,爱情;7.9;446810;142667
社交网络 The Social Network;大卫·芬奇;杰西·艾森伯格,安德鲁·加菲尔德,贾斯汀·汀布莱克,鲁妮·玛拉,约瑟夫·梅泽罗,艾米·汉莫,乔什·平茨,艾比·森哈,布兰达·宋,达科塔·约翰逊,艾伦·索金,艾玛·菲茨帕特里克,玛莱斯·裘,马克·索尔,达斯汀·菲兹莫斯,帕特里克·梅佩尔;剧情,传记;8.2;425495;106762
举起手来！;冯小宁;郭达,潘长江,刘小微,李明,胡晓光;喜剧,战争;7.1;133664;19858
狄仁杰之四大天王;徐克;赵又廷,冯绍峰,林更新,阮经天,马思纯,刘嘉玲,盛鉴,杨一威,唐古特·宝日夫,张傲月,孙蛟龙,汪汐潮,铁男,李炳雷,许明虎;动作,悬疑,奇幻,武侠,古装;6.1;256108;89066
风中有朵雨做的云;娄烨;井柏然,宋佳,马思纯,秦昊,陈妍希,张颂文,陈冠希,颜卓灵,王维申,胡伶,黄伊凡,陈伟榕,单宝中,梁致力,罗义民;剧情,悬疑,犯罪;7.2;371712;132425
2001太空漫游 2001: A Space Odyssey;斯坦利·库布里克;凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特,丹尼尔·里希特,雷纳德·洛塞特,罗伯特·比提,肖恩·沙利文,艾德·毕肖普,格伦·贝克,艾伦·吉福德,安·吉利斯;科幻,惊悚,冒险;8.9;275553;85739
权力的游戏 第一季 Game of Thrones Season 1;蒂莫西·范·帕腾,布莱恩·柯克,丹尼尔·米纳汉,阿兰·泰勒;肖恩·宾,米歇尔·费尔利,琳娜·海蒂,彼特·丁拉基,艾米莉亚·克拉克,基特·哈灵顿,苏菲·特纳,麦茜·威廉姆斯,尼古拉·科斯特-瓦尔道,伊恩·格雷,约翰·布莱德利;剧情,奇幻,冒险;9.5;369474;71451
朗读者 The Reader;史蒂芬·戴德利;凯特·温丝莱特,大卫·克劳斯,拉尔夫·费因斯,詹妮特·海因,苏珊娜·洛塔尔,Alissa Wilms,弗罗里安·巴西奥罗麦,弗里德里克·贝希特,马蒂亚斯·哈比希,Frieder Venus,Marie-Anne Fliegel,Hendrik Arnst,Rainer Sellien,托尔斯滕·米凯利斯,Moritz Grove;剧情,爱情;8.6;421038;78878
穿越时空的少女 時をかける少女;细田守;仲里依纱,石田卓也,板仓光隆,垣内彩未,谷村美月,关户优希,桂歌若,安藤绿,立木文彦,山本圭子,反田孝幸,谷川清美,汤屋敦子,松田洋治,中村正,原沙知绘;剧情,爱情,科幻,动画;8.6;348436;80748
金刚 King Kong;彼得·杰克逊;安迪·瑟金斯,娜奥米·沃茨,杰克·布莱克,艾德里安·布洛迪,托马斯·克莱舒曼,科林·汉克斯,伊万·帕克,杰米·贝尔,洛博·陈,约翰·萨莫尔,克里格·霍尔,凯尔·钱德勒,威廉·约翰逊,马克·哈德洛,杰拉丁·博若飞,大卫·皮图;动作,奇幻,冒险;8.0;288250;37181
伯德小姐 Lady Bird;格蕾塔·葛韦格;西尔莎·罗南,劳里·梅特卡夫,崔西·莱茨,卢卡斯·赫奇斯,蒂莫西·柴勒梅德,比妮·费尔德斯坦,罗伊丝·史密斯,斯蒂芬·亨德森,奥德娅·拉什,乔丹·罗德里格斯,凯瑟琳·纽顿,约翰·卡尔纳,杰克·麦克道曼,劳拉·马兰洛,安迪·巴克利,丹尼尔·祖瓦图,克里森·克拉克,丹妮尔·麦克唐纳,鲍勃·斯蒂芬森,路易莎·李,伦敦·托尔,本·康尼斯伯格,维克托·沃尔夫;剧情,家庭;7.9;295343;95874
下辈子我再好好过 第二季 来世ではちゃんとします シーズン2;三木康一郎,汤浅弘章;内田理央,小关裕太,太田莉菜,后藤刚范,飞永翼,小岛藤子,SWAY,工藤遥,板垣李光人;爱情;8.1;15575;5205
神话;唐季礼;成龙,金喜善,梁家辉,玛丽卡·沙拉瓦特,孙周,邵兵,于荣光,谭耀文;剧情,喜剧,动作,奇幻,冒险;6.8;239839;27631
非诚勿扰;冯小刚;葛优,舒淇,范伟,徐若瑄 Vivian Hsu,方中信,胡可,巩新亮,车晓,冯远征,罗海琼,邬逸聪,何佳怡,李琳;喜剧,爱情;7.2;397377;48148
未麻的部屋 Perfect Blue;今敏;岩男润子,松本梨香,辻亲八,大仓正章,秋元羊介,盐屋翼,堀秀行,筱原惠美,江原正士,梁田清之,古泽彻,新山志保,古川惠实子,原亚弥,三木真一郎,山野井仁,田野惠,长嶝高士,陶山章央,细井治,远近孝一,本井英美,保志总一朗,谷山纪章,北野诚,南香织,商店一野;动画,惊悚,奇幻;9.0;275205;73338
最好的我们;刘畅;刘昊然,谭松韵,王栎鑫,董晴,李砚,方文强,陈梦希,刘启恒,梁浩,孙佳雨,晁然,张磊,高文峰,刘文曲,张文婷,单雯俪,范艺萌,安洁,赵岩松,李佳蔚,曲海峰,荣梓杉,蓝天,聂子皓,绳玉琴,莲洁,宁子,刘美含,孙莹莹,李爱晶,张杭,吕赢,叶政潼,伦鹏,李胜达,孙紫琳,曹冬羽,于文韬,何雅洁,刘佳潼,吴祥礼,MC歌者阳子;剧情,爱情;8.9;332817;108051
东方快车谋杀案 Murder on the Orient Express;肯尼思·布拉纳;肯尼思·布拉纳,汤姆·巴特曼,米歇尔·菲佛,黛西·雷德利,威廉·达福,乔什·加德,约翰尼·德普,小莱斯利·奥多姆,佩内洛普·克鲁兹,朱迪·丹奇,德里克·雅各比,帕帕·厄希度,迈克尔·劳斯,艾略特·利维,约瑟夫·朗,安迪·阿波罗,哈德利·弗雷泽,齐亚德·阿巴扎,米尔托斯·耶罗勒曼,凯瑟琳·怀德,杰拉德·霍兰,曼努埃尔·加西亚-鲁尔福,理查德·克里弗特,谢尔盖·波卢宁,亚当·加西亚,露西·宝通,马尔万·肯扎里,哈利·莱斯特·史密斯,奥利维娅·科尔曼,Chris Porter,杰克·里德福德,菲尔·邓斯特,米兰达·莱森,安苏·卡比亚,托德·博伊斯,拉斯科·阿特金斯,罗伊·贝克,Norman Bowman,贝恩·科拉科,耶稣·加洛,露丝·霍洛克斯,拉普洛斯·卡伦福佐斯,马里安·洛伦西克,贾森·马修森,尼克·欧文福特,阿拉·萨菲,伯纳多·桑托斯,查尔斯·斯特里特;剧情,悬疑,犯罪;6.8;288882;83980
变相怪杰 The Mask;查克·拉塞尔;金·凯瑞,彼得·里格特,彼得·格林纳,艾米·雅丝贝克,理查德·杰尼,Orestes Matacena,蒂姆·巴格来,南茜·费什,Johnny Williams,雷格·E·凯蒂,Jim Doughan,丹尼斯·弗雷斯特,卡梅隆·迪亚兹,Joseph Alfieri,B.J. Barie,布莱克·克拉克,克里斯托弗·达尔加,乔莉·费舍尔,凯文·格雷维奥斯,Robert Keith,爱沃瑞·欧欣,Robert O'Reilly,Eamonn Roche,本·斯坦,Wendy L. Walsh,梅多·威廉姆斯,Max,加雷特·佐藤;喜剧,奇幻;8.0;245253;28106
假如爱有天意 클래식;郭在容;孙艺珍,曹承佑,赵寅成,李己雨,金秉玉,徐英姬;剧情,爱情;8.4;380734;92322
山楂树之恋;张艺谋;周冬雨,窦骁,奚美娟,李雪健,姜瑞佳,于新博,萨日娜,成泰燊,吕丽萍,孙海英,王劲松,贺小语,易歆韵,裘慕远,胡馨元,边铁军,李庆,姚丽,陈星旭;剧情,爱情;7.1;310247;77991
太阳照常升起;姜文;房祖名,周韵,姜文,黄秋生,陈冲,孔维,崔健,李加民;剧情,奇幻;8.3;249339;66884
推拿;娄烨;郭晓东,秦昊,张磊,梅婷,黄轩,黄璐,黄军军,姜丹,穆怀鹏;剧情;8.0;182807;55794
生化危机2：启示录 Resident Evil: Apocalypse;亚历山大·维特;米拉·乔沃维奇,西耶娜·盖尔利,奥德·菲尔,托马斯·克莱舒曼,索菲·瓦瓦塞尔,何家蓓;动作,科幻,恐怖;7.9;233522;23074
要听神明的话 神さまの言うとおり;三池崇史;福士苍汰,山崎纮菜,神木隆之介,染谷将太,优希美青,大森南朋,中川雅也,前田敦子,水田山葵,山崎努;惊悚,恐怖;6.6;40689;13574
哥斯拉2：怪兽之王 Godzilla: King of the Monsters;迈克尔·道赫蒂;凯尔·钱德勒,维拉·法米加,米莉·波比·布朗,章子怡,渡边谦,布莱德利·惠特福德,托马斯·米德蒂奇,艾莎·辛德斯,莎莉·霍金斯,查尔斯·丹斯,大卫·斯特雷泽恩,小奥谢拉·杰克逊,希·庞德,安东尼·拉莫斯,杰森·莱尔斯,乔纳森·霍华德,莱尔·布罗卡托,兰德尔·P·海文斯,T·C·马特恩,吉米·冈萨雷斯,萨莎·里翁达,文斯·福斯特,贾斯蒂斯·利克,菲奥娜·哈丁汉姆,露西·卡罗尔,约书亚·利瑞,艾伦·马克森,肯尼斯·以色列,阿尔·维森特,塞西尔·M·亨利,迈克尔·大卫·育尔,本杰明·韦弗,卡梅伦·布鲁姆布罗,帕蒂·舍尔哈斯,理查德·多顿,詹姆斯·斯特林,麦克斯威尔·海史密斯,贾斯汀·斯劳特,肖恩·索斯,马科·查卡,蒂莫西·卡尔;动作,科幻,冒险,灾难;6.2;253701;84131
帕丁顿熊2 Paddington 2;保罗·金;本·卫肖,休·格兰特,休·博纳维尔,莎莉·霍金斯,萨缪尔·乔斯林,马德琳·哈里斯,朱丽·沃特斯,布莱丹·格里森,吉姆·布劳德本特,艾美达·斯丹顿,彼得·卡帕尔迪,艾琳·阿特金斯,汤姆·康蒂,本·米勒,诺亚·泰勒,理查德·艾欧阿德;喜剧,动画,家庭;8.0;245182;71847
光芒;刘飚;张新成,蔡文静,张志坚,古子成,王自健,梁洁,王一楠,冯雷,毛毅,任彬,安戈,厉娜,张晞临,于翔,张雪菡;剧情;6.0;30269;12203
环太平洋：雷霆再起 Pacific Rim: Uprising;斯蒂文·S·迪奈特;约翰·博耶加,卡莉·史派妮,斯科特·伊斯特伍德,景甜,伯恩·戈曼,查理·戴,阿德里娅·阿霍纳,张晋,菊地凛子,卡兰·布拉尔,黄恺杰,伊万娜·萨赫诺,新田真剑佑,吉丽,雪莉·罗德里格斯,拉哈特·亚当斯,列维·米登,达斯汀·克莱尔,陈梓童,于小伟,钱泳辰,齐柏林·汉密尔顿,郭家铭,蓝盈莹,尼克·塔拉贝,沙恩·朗吉,戴杰,尼克·萨特里亚诺,丹尼尔·弗雷里格尔,金桢勋,菊池润美,玛德琳·麦格劳,乔什·斯坦伯,斯蒂芬妮·阿琳,卢克·朱迪,布里德基·萨蒂纳,小蒂姆·约翰逊,埃里克·阿达尔,Nancy Nugent,萨曼莎·吉恩,玛丽莎·拉蒙尼卡,罗伯特·梅耶,Marco Sinigaglia,安吉·特里克;动作,科幻,冒险;5.4;225849;69331
北京遇上西雅图之不二情书;薛晓路;汤唯,吴秀波,惠英红,秦沛,吴彦姝,颜卓灵,王志文,陆毅,祖峰,王茜,刘志宏,张一白,艾丽娅,李灿森,陈创,韩张;喜剧,爱情;6.4;240159;76310
伪装者;李雪;胡歌,靳东,刘敏涛,王凯,宋轶,王乐君,王鸥,刘奕君,岳旸,张棪琰,郭晓峰,松峰莉璃,王铮,高鑫,郭虹,平田康之,朱梦瑶,孙梦佳,孙晨,冯晖,松浦敬之,刘陆,高正,曲浩天,冯千,姚力烨,王宏,谢承颖,史晓僮,毕英杰,柳洋,桑茗胜,王海龙,郭彤彤,臧晋,孙征宇,张巨明,叶恺文;剧情,悬疑;8.6;275046;89339
饥饿游戏2：星火燎原 The Hunger Games: Catching Fire;弗朗西斯·劳伦斯;詹妮弗·劳伦斯,乔什·哈切森,利亚姆·海姆斯沃斯,伍迪·哈里森,伊丽莎白·班克斯,唐纳德·萨瑟兰,菲利普·塞默·霍夫曼,山姆·克拉弗林,吉娜·马隆,斯坦利·图齐,托比·琼斯,林恩·科恩,薇洛·西尔德斯,蓝尼·克罗维兹,阿兰·里奇森,斯蒂芬妮·利·施朗德,杰弗里·怀特,阿曼达·普拉莫,布鲁诺·冈恩;动作,科幻,冒险;7.3;243369;52084
功夫瑜伽;唐季礼;成龙,李治廷,张艺兴,索努·苏德,母其弥雅,迪莎·帕塔尼,艾米拉·达斯特,尚语贤,姜雯,张国立;喜剧,动作,冒险;5.0;173257;62126
暮光之城2：新月 The Twilight Saga: New Moon;克里斯·韦兹;克里斯汀·斯图尔特,罗伯特·帕丁森,泰勒·洛特纳,达科塔·范宁,安娜·肯德里克,杰米·坎贝尔·鲍尔,阿什丽·格林尼,麦克·辛,杰克逊·拉斯波恩,妮基·瑞德,彼得·费辛利,凯南·鲁兹,伊莉莎白·里瑟;剧情,爱情,惊悚,奇幻;6.8;261409;39949
万能钥匙 The Skeleton Key;伊恩·索夫特雷;凯特·哈德森,吉娜·罗兰兹,约翰·赫特,彼得·萨斯加德,乔伊·布赖恩特,麦克辛·巴内特,法隆尼·R·哈里斯,马龙·泽瑟,安·达芮普,迪内·泰勒,楚拉·M·马库斯,松雅·斯塔森,托马斯·尤斯卡利,珍·阿普加,弗里斯特·兰蒂斯;剧情,悬疑,恐怖;8.0;324482;81381
比悲伤更悲伤的故事 比悲傷更悲傷的故事;林孝谦;陈意涵,刘以豪,张书豪,陈庭妮,吴映洁,禾浩辰,游大庆,石知田,黄丽玲,姚爱寗;爱情;4.8;162408;67256
漂流少年 Sonny Boy;夏目真悟;市川苍,大西沙织,悠木碧,小林千晃,后藤弘树,内藤有海,佐藤花,上田耀司,山本祥太,荻野佳奈;科幻,动画;9.1;19846;7356
007：大破天幕杀机 Skyfall;萨姆·门德斯;丹尼尔·克雷格,朱迪·丹奇,哈维尔·巴登,拉尔夫·费因斯,娜奥米·哈里斯,贝纳尼丝·玛尔洛,阿尔伯特·芬尼,本·卫肖,罗里·金尼尔,奥拉·拉佩斯,海伦·麦克洛瑞,尼古拉斯·伍德森,比尔·巴克赫斯特,埃利泽·杜·图瓦,伊恩 博纳,本·洛伊德·霍尔姆斯,托尼娅·索提罗珀洛,沃尔夫·布利策,奥赖恩·李,袁之正,杨亮,张茵,华·爱德华兹,阿米尔·鲍特罗斯,约翰·霍奇金森,库尔特·埃贾万,比阿特丽斯·克纽,延斯·赫尔腾,迈克尔·品克,安东尼·奥唐纳,汤姆·吴,杰克·费尔布罗勒,丹尼尔·阿德博伊加,塞尔瓦·拉萨林根,克莱尔·阿什顿,理查德·班克斯,金塔雷·贝尼奥拉维特,保罗·布莱克维尔,马文·坎贝尔,贝恩·科拉科,克里斯·考林,埃利奥特·克罗斯利,格拉姆·柯里;动作,惊悚,冒险;7.2;241445;77074
栀子花开;何炅;李易峰,张慧雯,蒋劲夫,魏大勋,杜天皓,张予曦,李心艾,宋轶,张云龙,柴格,王佑硕,李玟,陈羽凡,胡海泉,尼查坤·抔勒威查固,李晟,李佳航,刘昊然,扈忠汉,李偲菘,李伟菘,陈思成,安淇尔,秦沛,陈伟强,杨杰,谢娜,何炅;爱情;4.5;147343;52809
心理罪之城市之光;徐纪周;邓超,阮经天,刘诗诗,文淇,林嘉欣,郭京飞,马苏;动作,悬疑,犯罪;5.9;148549;46948
第六感 The Sixth Sense;M·奈特·沙马兰;布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特,奥莉维亚·威廉姆斯,唐尼·沃尔伯格,特拉沃·摩根,彼得·安东尼·唐伯蒂斯,格伦·菲茨杰拉德,米莎·巴顿,Lisa Summerour,法尔德斯·巴姆,杰弗里·泽布尼斯;剧情,悬疑,惊悚;8.9;497085;108868
浪客剑心 るろうに剣心;大友启史;佐藤健,武井咲,吉川晃司,苍井优,青木崇高,绫野刚,田中伟登,奥田瑛二,江口洋介,香川照之,平田薰;剧情,动作,古装;8.1;79873;26881
大逃杀 バトル・ロワイアル;深作欣二;藤原龙也,前田亚季,山本太郎,北野武,栗山千明,高冈奏辅,塚本高史,小谷幸弘,石川绘里,神谷凉,三村恭代,岛田礼,井上亚纪,松泽莲,本田博仁,新田亮,池田早矢加,永田杏奈,金泽祐香利,加藤操,日向瞳,石井里弥,金井爱砂美,花村怜美,柴田阳亮,乡志郎,增田裕生,广川茂树,三原珠纪,岛木智实,佐野泰臣,日下慎,西村豪起,山口森广,大西修,横道智,内藤淳一,木下统耶子,关口真衣,马场乔子,野见山晴可,岩村爱子,前田爱,美波,山村美智子,利根川寿寿花,诹访太朗,片冈礼子,谷口节,中井出健,深浦加奈子,宫村优子,柴崎幸,安藤政信,伊尔琳·菲茨杰拉德,斯蒂芬妮·社,John Snyder,斯派克·斯潘塞,Kaiji Tang,Julie Ann Taylor;剧情,惊悚;8.0;197168;49670
来自星星的你 별에서 온 그대;张太维;金秀贤,全智贤,朴海镇,刘寅娜,吴尚镇,安宰贤,申成禄,赵承贤,金贤秀,李一花;爱情;8.4;335557;97917
一念天堂;张承;沈腾,马丽,杜晓宇,林雪,王子子,李元鹏,苏志丹,徐若琪,齐海洋;喜剧;6.0;101048;27130
大护法;不思凡;小连杀,图特哈蒙,金士杰,幽舞越山,李佳怡,李兰陵,郭盛,叶知秋,佟心竹,邢凯新,藤新,郝祥海;喜剧,动画,奇幻,冒险;7.8;338661;120389
燃烧女子的肖像 Portrait de la jeune fille en feu;瑟琳·席安玛;诺米·梅兰特,阿黛拉·哈内尔,卢安娜·巴杰拉米,瓦莱丽亚·戈利诺,Christel Baras,阿曼德·博兰格,Guy Delamarche,Clément Bouyssou,米歇尔·克莱门特,Cécile Morel;剧情,爱情,同性;8.7;165693;61402
惊魂记 Psycho;阿尔弗雷德·希区柯克;安东尼·博金斯,维拉·迈尔斯,约翰·加文,珍妮特·利,马丁·鲍尔萨姆,约翰·麦克因泰,西蒙·奥克兰,弗兰克·艾伯森,帕特里夏·希区柯克,沃恩·泰勒,卢伦·塔特尔,约翰·安德森,莫特·米尔斯,吉特·卡森,维吉尼亚·格雷格,阿尔弗雷德·希区柯克,珍妮特·诺兰,罗伯特·奥斯本,海伦·华莱士,Fletcher Allen,沃尔特·培根,弗朗西斯·德塞尔斯,乔治·多克斯塔德,乔治·埃尔德雷奇,哈珀·弗莱厄蒂,萨姆·弗林特,弗兰克·基尔蒙德,泰德·奈特,帕特·麦卡弗里,汉斯-乔基姆·默比斯,弗雷德·谢威勒;悬疑,惊悚,恐怖;9.0;243604;61808
猩球崛起3：终极之战 War for the Planet of the Apes;马特·里夫斯;安迪·瑟金斯,伍迪·哈里森,斯蒂夫·扎恩,卡琳·考诺娃,阿米尔·米勒,泰瑞·诺塔里,泰·奥尔森,迈克尔·亚当思韦特,托比·凯贝尔,加布里埃尔·查瓦里亚,朱迪·格雷尔,莎拉·坎宁,德文·达尔顿,阿莱克斯·潘诺维奇,亚历桑德罗·朱利安尼,马克斯·洛伊德-琼斯,蒂莫西·韦伯;剧情,动作,科幻;6.9;205844;56085
速度与激情4 Fast & Furious;林诣彬;范·迪塞尔,保罗·沃克,米歇尔·罗德里格兹,乔丹娜·布鲁斯特,盖尔·加朵,约翰·奥提兹,拉兹·阿隆索,谢伊·惠格姆,莉萨·拉皮拉,姜成镐,格雷格·西佩斯;动作,犯罪;7.8;158814;16274
