影片名;导演;主演;影片类型;评分;评分人数;短评数
我的巴比伦恋人;周楠;凤小岳,卜冠今,许玮甯,周游,朱颜曼滋,王瑞昌;剧情,喜剧,爱情,奇幻;7.2;48121;20713
怦然心动 Flipped;罗伯·莱纳;玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼,佩内洛普·安·米勒,艾丹·奎因,凯文·韦斯曼,摩根·莉莉,瑞安·克茨纳,吉莉安·普法夫,迈克尔·博萨,博·勒纳,杰奎琳·埃沃拉,泰勒·格鲁秀斯,艾莉·布莱恩特,阿什莉·泰勒,伊瑟尔·布罗萨德,科迪·霍恩,迈克尔·博尔顿,肖恩·哈珀,斯戴芬妮·斯考特,帕特丽夏·伦茨,马修·戈尔德,阿罗拉·凯瑟琳·史密斯,凯莉·唐纳利,索菲亚·撒高,米歇尔·梅斯默,斯科特·乔尔·吉兹基,罗德·迈尔斯,卡拉 帕西托,凯特琳·帕西托;剧情,喜剧,爱情;9.1;1644989;390427
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone;克里斯·哥伦布;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,艾伦·瑞克曼,玛吉·史密斯,汤姆·费尔顿,伊恩·哈特,理查德·哈里斯,约翰·赫特,罗彼·考特拉尼,朱丽·沃特斯,邦妮·怀特,约翰·克里斯,肖恩·比格斯代夫;奇幻,冒险;9.1;1026367;163583
八角亭谜雾;王小帅,花箐;段奕宏,郝蕾,祖峰,吴越,邢岷山,白宇帆,米拉,李煜,迟嘉,屠芷莹,温峥嵘,艾丽娅,王子子,赵燕国彰,陶红,翟子路,戴军,黄小蕾,傅亨,徐程,王小帅;悬疑,家庭,犯罪;5.6;67890;29909
寻梦环游记 Coco;李·昂克里奇,阿德里安·莫利纳;安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托,杰米·卡米尔,阿方索·阿雷奥,赫伯特·西古恩萨,加布里埃尔·伊格莱西亚斯,隆巴多·博伊尔,安娜·奥菲丽亚·莫吉亚,娜塔丽·科尔多瓦,赛琳娜·露娜,爱德华·詹姆斯·奥莫斯,索菲亚·伊斯皮诺萨,卡拉·梅迪纳,黛娅娜·欧特里,路易斯·瓦尔德斯,布兰卡·阿拉切利,萨尔瓦多·雷耶斯,切奇·马林,奥克塔维·索利斯,约翰·拉岑贝格;喜剧,动画,音乐,奇幻;9.1;1465361;386799
楚门的世界 The Truman Show;彼得·威尔;金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩;剧情,科幻;9.3;1472903;295577
绿皮书 Green Book;彼得·法雷里;维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫,迈克·哈顿,P·J·伯恩,乔·柯蒂斯,玛姬·尼克松,冯·刘易斯,乔恩·索特兰,唐·斯达克,安东尼·曼加诺,保罗·斯隆,珍娜·劳伦索,肯尼斯·以色列,伊克博·塞巴,尼克·瓦莱隆加,大卫·安,迈克·切罗内,杰拉尔丁·辛格,马丁·巴特斯·布拉德福德,格拉伦·布莱恩特·班克斯,汤姆·维图,夏恩·帕特洛,丹尼斯·W·霍尔,吉姆·克洛克,戴恩·罗兹,布赖恩·斯特帕尼克,乔恩·迈克尔·戴维斯,布莱恩·库瑞,托尼亚·马尔多纳多;剧情,喜剧,音乐,传记;8.9;1436383;360324
霸王别姬;陈凯歌;张国荣,张丰毅,巩俐,葛优,英达,蒋雯丽,吴大维,吕齐,雷汉,尹治,马明威,费振翔,智一桐,李春,赵海龙,李丹,童弟,沈慧芬,黄斐,徐杰;剧情,爱情,同性;9.6;1921775;414672
你的名字。 君の名は。;新海诚;神木隆之介,上白石萌音,长泽雅美,市原悦子,成田凌,悠木碧,岛崎信长,石川界人,谷花音,寺杣昌纪,大原沙耶香,井上和彦,茶风林,加藤有花,花泽香菜,寺崎裕香;剧情,爱情,动画;8.5;1245328;311204
图兰朵：魔咒缘起;郑晓龙;关晓彤,迪伦·斯普罗斯,姜文,胡军,苏菲·玛索,文森特·佩雷斯,林思意,王嘉,邹兆龙,乌兰托雅·朵,托马斯·弗兰克;爱情,奇幻;3.1;27468;14635
流浪地球;郭帆;屈楚萧,吴京,李光洁,吴孟达,赵今麦,隋凯,屈菁菁,张亦驰,杨皓宇,阿尔卡基·沙罗格拉茨基,李虹辰,杨轶,姜志刚,张欢,雷佳音,宁浩,刘慈欣,郭京飞,王智,张子贤,路阳,张宁,张小北,饶晓志,陶珞依,吴晓亮,龚格尔,郭帆;科幻,冒险,灾难;7.9;1753379;685154
我的名字 마이네임;金镇民;韩韶禧,朴熙顺,安普贤,张栗,金相浩,李学周,张律,金镇民;动作,惊悚;7.8;37207;12242
让子弹飞;姜文;姜文,葛优,周润发,刘嘉玲,陈坤,张默,姜武,周韵,廖凡,姚橹,邵兵,苗圃,冯小刚,胡军,马珂,白冰,杜奕衡,李静,胡明,危笑,杨奇雨,赵铭;剧情,喜剧,动作,西部;8.9;1496929;288278
少年的你;曾国祥;周冬雨,易烊千玺,尹昉,周也,吴越,黄觉,张艺凡,张耀,张歆怡,赵润南,郜玄铭;剧情,爱情,犯罪;8.2;1359505;472093
盗梦空间 Inception;克里斯托弗·诺兰;莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,汤姆·哈迪,渡边谦,迪利普·劳,基里安·墨菲,汤姆·贝伦杰,玛丽昂·歌迪亚,皮特·波斯尔思韦特,迈克尔·凯恩,卢卡斯·哈斯,李太力,克莱尔·吉尔蕾,马格努斯·诺兰,泰勒·吉蕾,乔纳森·吉尔,水源士郎,冈本玉二,厄尔·卡梅伦,瑞恩·海沃德,米兰达·诺兰,拉什·费加,蒂姆·科勒赫,妲露拉·莱莉;剧情,科幻,悬疑,冒险;9.4;1865585;372590
