昵称;评价;评价日期;评论内容;赞同数
Judy;还行;2022-03-27;最后20分钟找到了漫威应有的水准和节奏，在倾全体之力打败了像灭霸这样的敌人后，超级英雄新的敌人，是声名鼎沸和无人问津，从钢铁侠超英帝国的继承人到no one，遗忘是比死亡更加彻底的道别。荷兰虫的故事里，极致的孤独和平凡，就是“能力越大责任越大”。三代小虫同框很有看点，设定有趣，三个人的演技对比也很直观。MJ跌落高塔而加菲虫抱住她让人泪目，以为会是蜘蛛侠的自我救赎，其实却是更深的遗憾，超凡这个悲剧桥段塑造的实在经典，这么多年过去还可以通过其他电影和加菲的演技继续加深。除了这些以外，整个电影剩下的都是匪夷所思和无法理解。;4
风声;很差;2022-03-12;MIT招生是不是稍微考察一下智力水平？;324
一颗甜橙;还行;2021-12-15;一代蜘蛛侠出场真的让我觉得我老了 出场人物太多有点混乱 不过后面的剧情对前几部蜘蛛侠有了交代算亮点吧;473
桃桃林林;还行;2022-03-14;感觉就是为了凑蜘蛛侠三连，故意编这么个扯淡故事出来。但这种设定太伤角色了，这不就是自己胡折腾么。然后，还要美其名曰成长的代价，太有病了。;257
影身;还行;2021-12-15;该有的都会有，你的期待和它的毛病都是。其实完全可以再打理一下剧作逻辑，但是它不想，也不必。 然而这该死的情怀... 确实有其动人之处。;316
陀螺凡达可;较差;2022-03-12;把昔日反派都拉出来遛一遍而不再创造新反派的决定从剧作上来看其实很难自圆其说，随之出现多重宇宙的不同时间线问题也并未尝试解决，于是整个就显得鸡肋；相比之下另外两只的戏更糟糕，除了“能力越大责任越大”助力完成主蜘蛛角色弧度外，几乎完全淹没在玩梗、插科打诨和情怀绑架中。动作特效戏只有奇异博士那段能看，其余黑灯瞎火还一通乱剪太辣眼睛。荷兰弟拿手哭戏终于派上了用场，最后重逢那段和赞达亚的对手戏也不露怯，不过全片最碾压的只能是威廉达福。;0
查鲤;较差;2021-12-18;荷兰弟这辈子能独立行走吗？;305
且且且;还行;2021-12-19;😅编剧每发一个刀子荷兰弟的小蜘蛛就会更讨人厌一点，三代蜘蛛同框发生在这样一部烂电影里真是太糟糕了;454
Mia;还行;2021-12-19;被蜘蛛侠气死了……看的超级窝囊……也特别不同意电影所传递的价值观……why those people deserve the second chance? How about casualties? Who give them another chance??? | 看到大集结还是很开心激动的！！！尤其是接人那里，可她不是emma stone😭😭😭;243
你好忧愁;很差;2021-12-19;用一个扯淡的理由把之前的角色都拉回来演一出更扯淡的戏。比起电影更像是一个超长的媚粉ova;385
一顆活性炭;还行;2022-02-13;纯纯情怀分，拍得太平庸😅故事干瘪，人物拉垮，光是荷兰接不住加菲托比的戏这点，就让整个影片有种强烈的失衡感。另外漫威这几年做得最差的就是，在对某些议题 (尤其是超英传统的身份危机)进行娱乐化处理时(并不是说这不好，参考队2钢3)，会故意选择忽略议题的多维性，让之服从于更具营销潜力的人设打造，但人物与议题这两者本应是彼此构建的关系。而对那句“能力越大责任越大”的阐释，也是三代里最空洞、最令人无语的。一代是讲个人权力与社会责任，炒饭是自我牺牲、负重成长，到了这部则变成对自己的道德绑架、变成为了自我感动而做出不成熟之举的借口。养成系确实很讨巧，但看着漫威为了强化这个人设标签，而让三代蜘蛛侠的形象逐渐趋于脸谱化、甚至是低龄化，真的相当可惜。（写不下了长评见）;150
状况不明;较差;2022-03-17;反派得到拯救的标准是被剥夺超能力？这是什么流氓道理？;91
球场终结者行云;还行;2022-03-14;像极了学生时代的语文考试，为了完成《三蛛同框》这个命题作文，东拼西凑了N多牵强论据，不管自己信不信先凑满字数，最后来个自认为能感动阅卷老师的情感升华……这样的操作不会有高分，也不会崩盘，毕竟"三蛛同框"这个很难跑题的中心思想和N多彩蛋本身，就已经赢麻了。;74
Puff;力荐;2021-12-15;不只是荷蘭弟系列的集大成，更是過往所有蜘蛛人電影的集大成，稍顯不慎便會落入前2代令人詬病的缺點之中，所幸在如此混雜的篇章之中，彼得的成長與蛻變仍然是本集核心。正所謂沒有痛徹心扉的頓悟，就沒有刻骨銘心的成長，《無家日》是荷蘭弟三部曲中最黑暗的篇章，它讓彼得知道能力越大責任越大真正的意涵，不該因為遭受矇騙而喪失自己的善良，而是在遭受這一切過後更為小心的看人，持續幫助人。mcu版拍了3部總算拍到了最重要的責任承接命題，命題處理動人，電影也是所有粉絲夢寐以求的，20周年的粉絲感謝祭，的確有其敘事拙劣之處，但整體來說是充滿情懷、感動，舊粉會高聲歡呼，新粉會意識到蜘蛛人承載著各個世代的精神，感性來說是滿分之作，感謝索尼與漫威，真的是無與倫比的蜘蛛人電影，收尾滿分，為荷蘭弟版蜘蛛人劃下句點與嶄新的開始。;673
阿作也不是很作;较差;2022-03-16;这真是我看过最蠢最难看的蜘蛛侠了，完全浪费了前两代的情怀（加菲部分气得本超凡粉要死）。荷兰弟的小蜘蛛第一部蹭钢铁侠第二部蹭复联第三部蹭三代合体，是有什么巨婴蜘蛛病永远不会独立行走？漫威已经成为又蠢又烂代名词，侮辱观众智商很有趣？;92
楚人不留香;较差;2022-03-14;蜘蛛侠有史以来最傻逼剧情，没有之一。一句话概括：赔了老人赔夫人，一切都是白忙活;94
朴朴朴小花;很差;2021-12-17;蜘蛛侠好一个圣母玛丽苏;399
xixixi;力荐;2021-12-16;实在太好看了，荷兰虫一直被诟病的不够独立终于做到了，悲情黑暗又孤身一人，过去所拥有的全都消失，他比托比虫加菲虫得到的更多，失去的也更多，真正成为了顶天立地的friendly neighbourhood spiderman，只是这个成长实在太痛了，众叛亲离，血一样的四个字。 托比虫和加菲虫真的，太感动了。很高兴看到托比虫中年了还在一边嘴炮一边打怪，很高兴看到加菲虫走出了格温的阴影继续拯救世界——他救下mj的动作太熟练了又太温柔了，单是想想他在脑海里模拟过多少次“I could've saved her”就刀到不行。 从小看蜘蛛侠长大的我真的一本满足，里边儿太多场景致敬了。 最后，钢铁侠。我真的每看一次反应炉我都ptsd一次。太伤了。;313
南赫;较差;2022-03-12;一个被保护得太好以及永远有人帮他擦屁股的圣母高中生，惹起来的一场蠢事。2022年了MJ居然变回花瓶，我是没想到。还有，他太烦了，能不能禁言？！还还有，他配当“彼得1号”？！;124
韩小四;还行;2022-03-14;俄乌战争期间看这个，深有感觉。米国对外宣传的自己，永远是圣母一样的英雄，背后里却干着奥斯本绿魔的勾当，出事后还永远会甩锅给精神分裂，自己拍拍屁股走人。;80
虚拟世界的蛋;还行;2022-03-21;太感人了 初代绿魔是唯一一个坚守初心的坏蛋😭;65
花椒滷豆腐;较差;2021-12-15;Jon Watts。我可能真的跟霍蘭德版本的蜘蛛人不對盤，所有事情都是移植某些概念，沒有太多新的動念（喔天啊這個角色跟那個角色互文、喔天啊這句對白代表這個故事是倒過來講的⋯⋯等等）。找來大量山姆雷米與馬克韋伯版本的電影角色，似乎更凸顯這不是雷米跟韋伯的電影。某個鬥嘴情境質感下探 SNL 短劇。動作設計也蠻無聊的，大家互相把 CGI 丟來丟去。還是有個小地方有打動我，MJ 墜落那段。能在大銀幕上再見到蜥蜴人也是有點情懷加持。;178
心生;还行;2022-03-19;一场需求多次变更引发的混乱。;37
Jason;较差;2021-12-17;两小时看了个什么东西，剪辑实在不行就去电子厂上班吧，天上一拳地上一脚，这到底有啥意义？想要救这些反派反倒把自己梅姨害死了？还有这些反派，正反之间跳来跳去不腻嘛？除了唯一亮点就是三代同款，多加一星给初代经典，烂的跟毒液2有一拼;293
露西;很差;2022-01-20;这一部的小蜘蛛，是怎么就圣母心突发爆表，要“拯救”四人组的？他这么能，当初妇联的时候，怎么不去“拯救”灭霸？？;187
Andr.L;力荐;2021-12-16;看到加菲哭了跟着一起哭了的请举手😭，表现力太强了，能让人深刻的体会到那一刻的悲伤和悔恨。;330
Sasá;还行;2021-12-18;It’s ok. Not my fav. The dialogue is so lame and too cliché that didn’t work for me. Being nice doesn’t mean with no limit and not to think about the catastrophic consequence. A little kid’s stubbornness shouldn’t be encouraged and act without any responsibility. Hence the script is very lame and not well treated. I am not convinced.;95
格洛鸦;力荐;2021-12-16;三蛛同框不仅仅是蜘蛛侠影迷贯穿二十年成长的Celebration！三只关于过往伤痛的对话更像是不同成长阶段的自己与自己的对话，这和自我关怀疗愈中的空椅子疗法异曲同工。中年的托比告诉青年的加菲，嘿我和MJ过得不错，蜘蛛侠和彼得帕克的身份可以做到平衡，你也可以！托比和加菲对更年轻的荷兰弟说，嘿，我经历你经历的，我感受你感受过的，我们都曾认为那是My Fault，但我不想你再承受我曾承受的痛苦[泪]所以最后的拥抱才会如此治愈！那是对自我的和解与关怀;226
irmaannibal;很差;2022-03-12;我的天 我都不知道我是因为汤姆霍兰德讨厌三代蜘蛛还是因为三代蜘蛛讨厌汤姆霍兰德;135
王聒噪;推荐;2022-01-24;加菲救下MJ之后那个表情真的是 呜呜呜 ;387
麦兜;力荐;2021-12-19;索尼欠所有人一部超凡3!!!!!!!!!!!!!!;274
darkkev1n;较差;2021-12-16;1.祖传的圣母 2.有钢铁蜘蛛战衣被章鱼博士吊锤 战斗力0 3.一出事就往斯塔克工业跑 坐实铁人之子身份 4.祖传尬笑 我寻思章鱼博士名字有啥好笑的啊😅 5.漫画里蜘蛛侠渴望别人忘记自己身份是因为梅姨给金并暗杀濒死了 电影版只有媒体压力 比起来像儿戏 6.给奇异博士加条件导致召唤一堆反派那段 顶级剧情 为了尬笑而尬笑 7.第一部说了半天不是因为那身战衣才是蜘蛛侠 这部啥事没发生 就直接穿上钢铁蜘蛛了自我矛盾 8.把反派都“治好”了再送回去 岂不是把多元宇宙搞得更乱了？2星一星给托比和加菲 一星给完全不梅姨的梅姨g了 好死开🍾️;247
苏丽珍;力荐;2021-12-16;没想到只过了两年，我就看到了比复仇者联盟4更伟大的作品。;226
Wanderer;力荐;2022-03-12;这绝不是一部完美的电影。 但它是对蜘蛛侠影迷来说，一封最好的情书。;93
JacksonLee;力荐;2021-12-22;笑中带泪。不剧透了。;153
拐子流星锤;较差;2022-03-15;荷兰弟怎么有种美国易烊千玺的感觉;70
广陌;较差;2022-03-13;感谢总局让我没花钱看这个烂片，不然就不是两星是负分。不想承认这个蜘蛛侠，这版根本没有侠，真的很🐷。什么幼稚儿童圣父病看的人狂翻白眼，梅姨死的毫无意义也不感动，只让人觉得愤怒，什么SB剧情不说，绿魔骂她的话真的很对啊。所有人的智商都是60，让人怀疑麻省理工的招生水平。 搞了这么多反派感觉都描写廉价了，只有老绿魔看的出演技好，还有加菲接住MJ那里，但是消费完情怀让人更生气了。;67
